Time,Open,High,Low,Close,Volume
2012-03-28,176.0,176.0,176.0,176.0,20.0
2012-03-29,180.0,180.0,180.0,180.0,5.0
2012-03-30,175.0,175.0,170.0,175.0,70.0
2012-04-06,179.89999,179.89999,179.89999,179.89999,20.0
2012-04-17,180.0,180.0,180.0,180.0,35.0
2012-04-19,180.0,180.0,180.0,180.0,10.0
2012-04-26,180.0,180.0,171.0,180.0,27855.0
2012-05-17,180.0,180.0,180.0,180.0,65.0
2012-05-31,186.0,186.0,180.0,186.0,111.0
2012-06-12,164.39999,169.2,164.39999,164.39999,10.0
2012-06-14,163.0,163.0,163.0,163.0,4990.0
2012-06-15,170.0,170.0,170.0,170.0,100.0
2012-06-18,174.0,174.0,174.0,174.0,30.0
2012-06-19,174.0,174.0,174.0,174.0,20.0
2012-06-20,180.0,180.0,180.0,180.0,12.0
2012-06-21,188.95,189.0,188.95,188.95,555.0
2012-06-22,196.0,196.0,188.95,196.0,246.0
2012-06-28,184.25,184.25,184.25,184.25,2.0
2012-06-29,190.0,190.0,184.25,190.0,42021.0
2012-07-05,200.0,200.0,200.0,200.0,58.0
2012-07-19,188.0,188.0,188.0,188.0,3.0
2012-07-24,176.75,190.0,176.75,176.75,42.0
2012-07-25,169.0,169.0,169.0,169.0,261.0
2012-07-26,159.0,159.0,159.0,159.0,26.0
2012-07-27,160.0,160.0,160.0,160.0,1048.0
2012-07-31,169.60001,169.60001,154.5,169.60001,33409.0
2012-08-07,155.0,155.0,155.0,155.0,206.0
2012-08-08,164.25,164.25,164.25,164.25,5.0
2012-08-09,164.25,164.25,164.25,164.25,25.0
2012-08-10,155.0,164.25,155.0,155.0,12289.0
2012-08-17,155.10001,155.10001,155.10001,155.10001,1.0
2012-08-23,164.39999,164.39999,164.39999,164.39999,31.0
2012-08-24,163.89999,163.89999,163.89999,163.89999,200.0
2012-08-30,144.0,144.0,144.0,144.0,187.0
2012-08-31,140.0,140.0,140.0,140.0,514.0
2012-09-03,131.75,131.75,131.7,131.75,82.0
2012-09-06,122.0,135.0,122.0,122.0,257.0
2012-09-07,116.1,129.3,116.1,116.1,122.0
2012-09-10,116.2,116.2,116.15,116.2,3131.0
2012-09-11,116.3,116.3,116.3,116.3,101150.0
2012-09-14,130.60001,130.60001,130.60001,130.60001,1324.0
2012-09-17,130.75,130.75,130.75,130.75,1000.0
2012-09-18,131.0,131.0,131.0,131.0,2932.0
2012-09-19,133.0,133.0,133.0,133.0,3.0
2012-09-21,125.05,138.7,125.05,125.05,1141.0
2012-09-26,118.55,128.0,118.55,118.55,78.0
2012-09-28,119.0,125.65,119.0,119.0,1520.0
2012-10-01,119.0,119.0,119.0,119.0,423.0
2012-10-08,119.1,119.1,119.1,119.1,120.0
2012-10-10,126.0,126.0,123.05,126.0,108.0
2012-10-11,133.55,133.55,133.55,133.55,214.0
2012-10-12,136.0,136.0,136.0,136.0,69.0
2012-10-16,140.0,140.0,140.0,140.0,646.0
2012-10-17,140.0,140.0,140.0,140.0,285.0
2012-10-18,132.0,132.0,132.0,132.0,2143.0
2012-10-19,139.89999,139.89999,139.89999,139.89999,214.0
2012-10-22,142.0,142.0,142.0,142.0,162.0
2012-10-23,142.0,142.0,142.0,142.0,37.0
2012-10-24,142.0,142.0,142.0,142.0,1805.0
2012-10-25,139.0,139.0,139.0,139.0,20.0
2012-10-29,143.0,143.0,139.05,143.0,137.0
2012-10-30,139.0,139.0,139.0,139.0,18.0
2012-10-31,142.2,142.2,142.2,142.2,350.0
2012-11-01,145.0,145.0,145.0,145.0,10.0
2012-11-02,145.0,145.0,145.0,145.0,5.0
2012-11-05,153.7,153.7,153.7,153.7,1.0
2012-11-07,162.89999,162.89999,162.89999,162.89999,44.0
2012-11-08,167.0,167.0,163.5,167.0,275.0
2012-11-09,165.0,165.0,163.0,165.0,76.0
2012-11-13,165.0,165.0,165.0,165.0,3.0
2012-11-15,165.0,165.0,165.0,165.0,14.0
2012-11-19,165.0,165.0,165.0,165.0,2000.0
2012-11-20,170.0,170.0,170.0,170.0,1000.0
2012-11-22,173.0,173.0,173.0,173.0,10.0
2012-12-04,175.0,175.0,175.0,175.0,210.0
2012-12-05,179.95,179.95,179.95,179.95,3500.0
2012-12-06,179.89999,179.89999,179.89999,179.89999,2200.0
2012-12-07,175.0,175.0,175.0,175.0,2143.0
2012-12-12,182.0,182.0,182.0,182.0,20.0
2012-12-19,182.0,182.0,182.0,182.0,2.0
2012-12-25,175.0,180.0,175.0,175.0,9302.0
2012-12-26,178.5,178.5,164.5,178.5,5180.0
2012-12-27,179.0,179.89999,179.0,179.0,1500.0
2012-12-28,168.3,168.3,168.3,168.3,510.0
2012-12-31,170.0,170.0,170.0,170.0,10359.0
2013-01-03,170.0,170.0,170.0,170.0,1.0
2013-01-14,170.0,170.0,170.0,170.0,10900.0
2013-01-17,170.0,170.0,163.0,170.0,16200.0
2013-02-08,178.0,178.0,166.0,178.0,11.0
2013-02-12,169.0,169.0,169.0,169.0,6990.0
2013-02-22,170.0,170.0,169.89999,170.0,6000.0
2013-02-25,178.0,178.0,178.0,178.0,1.0
2013-03-07,178.0,178.0,178.0,178.0,1.0
2013-03-08,167.35001,178.0,167.35001,178.0,2.0
2013-03-19,167.35001,178.0,167.35001,178.0,4.0
2013-03-22,178.0,178.0,170.0,170.0,10.0
2013-03-26,165.0,180.2,165.0,170.0,13.0
2013-03-29,165.0,170.0,165.0,170.0,119.0
2013-04-08,165.0,170.0,165.0,170.0,11.0
2013-04-09,165.0,165.0,165.0,165.0,1.0
2013-04-10,165.0,165.0,165.0,165.0,20.0
2013-04-16,165.0,165.0,165.0,165.0,906.0
2013-05-02,165.0,165.0,165.0,165.0,20.0
2013-05-16,155.10001,155.10001,155.10001,155.10001,1.0
2013-05-21,164.39999,168.0,164.39999,168.0,15.0
2013-05-23,170.0,170.0,170.0,170.0,15.0
2013-05-28,169.89999,173.89999,169.89999,173.89999,39120.0
2013-05-31,165.0,174.0,165.0,174.0,26500.0
2013-06-18,173.89999,179.0,173.89999,179.0,17.0
2013-06-28,189.7,189.7,189.7,189.7,400.0
2013-07-01,189.64999,189.64999,178.35001,178.35001,19420.0
2013-07-05,185.0,185.0,185.0,185.0,2.0
2013-08-06,182.5,182.5,182.5,182.5,2.0
2013-08-26,182.5,192.0,182.5,192.0,155.0
2013-10-02,192.0,192.0,192.0,192.0,0.0
2013-10-03,192.0,192.0,192.0,192.0,0.0
2013-10-04,192.0,192.0,192.0,192.0,0.0
2013-10-07,178.60001,178.60001,178.60001,178.60001,155.0
2013-10-09,189.0,189.0,189.0,189.0,10.0
2013-11-04,189.0,189.0,189.0,189.0,1000.0
2013-11-13,189.0,189.0,189.0,189.0,120.0
2013-12-09,178.0,178.0,178.0,178.0,10.0
2013-12-10,185.0,185.0,185.0,185.0,91.0
2013-12-13,184.89999,184.89999,184.89999,184.89999,10.0
2013-12-25,184.5,184.5,184.5,184.5,11.0
2013-12-26,184.5,184.5,184.5,184.5,100.0
2013-12-27,174.0,177.0,174.0,177.0,7.0
2014-01-08,187.60001,187.60001,187.60001,187.60001,2.0
2014-05-22,176.35001,176.35001,176.35001,176.35001,9.0
2014-05-23,186.89999,186.89999,186.89999,186.89999,141.0
2014-06-06,186.89999,186.89999,186.89999,186.89999,1.0
2014-06-26,185.0,185.0,185.0,185.0,19410.0
2014-07-11,185.0,185.0,185.0,185.0,83.0
2014-07-14,190.0,190.0,190.0,190.0,8997.0
2014-09-26,198.2,198.2,198.2,198.2,11.0
2014-09-30,198.2,198.2,198.2,198.2,45700.0
2014-10-27,186.35001,186.35001,186.35001,186.35001,10001.0
2014-10-28,185.0,185.0,185.0,185.0,1.0
2014-10-29,185.0,185.0,185.0,185.0,6498.0
2014-10-30,187.5,189.0,187.5,189.0,2680.0
2014-10-31,193.0,193.0,193.0,193.0,1305.0
2014-11-07,192.5,192.5,192.5,192.5,5.0
2014-11-24,192.5,192.5,192.5,192.5,5.0
2014-12-19,194.89999,194.89999,194.89999,194.89999,38595.0
2014-12-24,200.0,200.0,200.0,200.0,585.0
2014-12-26,200.0,200.0,200.0,200.0,695.0
2015-01-09,188.5,200.0,188.5,200.0,64001.0
2015-01-15,208.0,208.0,208.0,208.0,55.0
2015-01-19,208.0,208.0,208.0,208.0,75.0
2015-01-30,207.95,207.95,207.95,207.95,16000.0
2015-02-03,203.0,203.0,203.0,203.0,48060.0
2015-02-05,198.0,198.0,198.0,198.0,5000.0
2015-02-06,198.95,198.95,198.95,198.95,15.0
2015-02-11,194.89999,194.89999,194.8,194.8,30450.0
2015-02-12,198.95,198.95,198.95,198.95,10.0
2015-02-13,194.8,200.0,194.8,200.0,7.0
2015-02-26,190.0,202.5,190.0,202.5,150.0
2015-03-09,195.0,200.0,195.0,200.0,50.0
2015-04-07,200.0,200.0,200.0,200.0,166132.0
2015-05-25,197.5,197.5,197.5,197.5,20.0
2015-05-27,197.5,197.5,197.5,197.5,50.0
2015-06-11,197.45,197.45,197.45,197.45,4.0
2015-08-26,199.0,199.0,199.0,199.0,4.0
2015-09-02,187.10001,187.10001,187.10001,187.10001,20.0
2015-09-04,187.10001,192.95,187.10001,192.95,185.0
2015-10-08,188.89999,188.89999,188.89999,188.89999,30200.0
2015-12-31,166.95,166.95,166.95,166.95,20.0
2016-01-08,176.95,176.95,176.95,176.95,10.0
2016-02-05,176.0,176.0,176.0,176.0,1.0
2016-02-08,175.95,175.95,175.95,175.95,695.0
2016-04-04,165.39999,165.39999,165.39999,165.39999,7.0
2016-04-11,155.5,155.55,155.5,155.55,120.0
2016-04-18,164.85001,164.85001,164.85001,164.85001,6.0
2016-05-05,174.7,174.7,174.7,174.7,1.0
2016-05-06,184.0,184.0,184.0,184.0,40.0
2016-07-05,180.0,180.0,180.0,180.0,3999.0
2016-07-11,180.0,180.0,180.0,180.0,1.0
2016-08-23,179.0,179.0,179.0,179.0,82.0
2016-08-25,179.0,179.0,179.0,179.0,2920.0
2016-08-26,179.0,179.0,179.0,179.0,57.0
2016-10-13,173.0,173.0,173.0,173.0,3000.0
2016-10-14,173.0,173.0,173.0,173.0,19.0
2016-10-21,173.0,173.0,173.0,173.0,1000.0
2016-11-01,173.0,173.0,173.0,173.0,1050.0
2016-11-02,172.0,172.0,172.0,172.0,939.0
2016-11-03,172.0,172.0,172.0,172.0,4061.0
2016-11-23,172.0,172.0,172.0,172.0,595.0
2016-11-24,171.95,171.95,171.95,171.95,1000.0
2016-11-25,171.89999,171.89999,171.89999,171.89999,6800.0
2016-11-29,171.89999,171.89999,171.89999,171.89999,1997.0
2016-12-01,168.0,168.0,168.0,168.0,925.0
2016-12-05,162.0,162.0,162.0,162.0,3.0
2016-12-06,162.10001,162.10001,162.10001,162.10001,3515.0
2016-12-09,171.8,171.8,171.8,171.8,40782.0
2016-12-16,171.8,171.8,171.8,171.8,1450.0
2016-12-23,178.0,178.0,178.0,178.0,100.0
2016-12-30,177.0,177.0,177.0,177.0,78027.0
2017-01-10,177.0,177.0,177.0,177.0,150.0
2017-01-12,177.0,177.0,177.0,177.0,10.0
2017-01-13,177.0,177.0,177.0,177.0,8.0
2017-02-16,180.0,180.0,180.0,180.0,50720.0
2017-02-17,178.0,178.0,178.0,178.0,10000.0
2017-02-20,170.0,170.0,170.0,170.0,3000.0
2017-03-06,178.0,178.0,178.0,178.0,15000.0
2017-03-27,179.0,179.0,179.0,179.0,1002.0
2017-04-11,174.0,174.0,174.0,174.0,89.0
2017-04-14,174.0,174.0,174.0,174.0,48250.0
2017-04-20,174.0,174.0,174.0,174.0,210.0
2017-04-24,174.0,174.0,174.0,174.0,10.0
2017-04-27,174.0,174.0,174.0,174.0,1.0
2017-05-04,173.8,173.8,173.8,173.8,481.0
2017-05-17,163.60001,163.60001,163.60001,163.60001,4021.0
2017-05-26,172.95,172.95,172.95,172.95,1000.0
2017-06-12,163.55,163.55,163.55,163.55,4000.0
2017-06-15,163.5,163.5,163.5,163.5,1121.0
2017-06-16,172.0,172.0,172.0,172.0,490.0
2017-06-23,166.0,166.0,166.0,166.0,120482.0
2017-06-30,175.0,175.0,175.0,175.0,100.0
2017-07-11,167.0,167.0,167.0,167.0,100.0
2017-07-26,168.0,168.0,168.0,168.0,1400.0
2017-07-27,176.89999,176.89999,176.89999,176.89999,3.0
2017-08-17,176.89999,176.89999,176.89999,176.89999,1.0
2017-08-25,176.89999,176.89999,176.89999,176.89999,25.0
2017-08-29,180.0,180.0,180.0,180.0,1.0
2017-08-30,180.0,180.0,180.0,180.0,1.0
2017-10-09,170.0,170.0,170.0,170.0,1000.0
2017-10-10,170.0,170.0,170.0,170.0,12.0
2017-10-11,170.0,170.0,170.0,170.0,2.0
2017-10-17,170.0,170.0,170.0,170.0,3.0
2017-10-23,170.0,170.0,170.0,170.0,3.0
2017-10-25,170.0,170.0,170.0,170.0,1.0
2017-10-26,170.0,170.0,170.0,170.0,2.0
2017-10-27,170.0,170.0,170.0,170.0,2.0
2017-10-30,170.0,170.0,170.0,170.0,200.0
2017-11-07,170.0,170.0,170.0,170.0,2.0
2017-11-28,170.0,170.0,170.0,170.0,3.0
2017-12-07,180.0,180.0,180.0,180.0,10.0
2017-12-08,179.89999,179.89999,179.89999,179.89999,10.0
2017-12-13,169.14999,169.14999,169.14999,169.14999,465.0
2017-12-14,168.0,168.0,168.0,168.0,2.0
2017-12-15,168.0,168.0,168.0,168.0,2.0
2017-12-21,168.0,168.0,168.0,168.0,2.0
2017-12-22,168.0,168.0,168.0,168.0,1000.0
2017-12-29,178.05,178.05,178.05,178.05,5.0
2018-02-26,178.0,178.0,178.0,178.0,170.0
2018-02-28,178.0,178.0,178.0,178.0,10.0
2018-03-01,178.0,178.0,178.0,178.0,5.0
2018-04-19,168.0,168.0,168.0,168.0,2.0
2018-04-27,177.89999,177.89999,177.89999,177.89999,133.0
2018-05-02,168.0,168.0,168.0,168.0,10.0
2018-05-03,168.0,168.0,168.0,168.0,5.0
